difference,difference_memory,element1,element2,period,position1,position2
-2,0,agent-2,agent-4,8,5,3
2,0,agent-2,agent-4,9,2,4
1,0,agent-2,agent-4,10,4,5
2,0,agent-2,agent-4,11,3,5
2,0,agent-2,agent-4,12,3,5
-2,0,agent-2,agent-4,13,5,3
2,0,agent-2,agent-4,14,3,5
1,0,agent-2,agent-4,15,3,4
2,0,agent-2,agent-4,16,3,5
2,0,agent-2,agent-4,17,3,5
2,0,agent-2,agent-4,18,3,5
2,0,agent-2,agent-4,19,3,5
2,0,agent-2,agent-4,20,3,5
1,0,agent-2,agent-4,21,3,4
1,0,agent-2,agent-4,22,3,4
1,0,agent-2,agent-4,23,3,4
2,0,agent-2,agent-4,24,3,5
3,0,agent-2,agent-4,25,2,5
1,0,agent-2,agent-4,26,3,4
-1,0,agent-2,agent-4,27,4,3
1,0,agent-2,agent-4,28,3,4
1,0,agent-2,agent-4,29,3,4
1,0,agent-2,agent-4,30,3,4
2,0,agent-2,agent-4,31,2,4
-1,0,agent-2,agent-4,32,4,3
1,0,agent-2,agent-4,33,3,4
1,0,agent-2,agent-4,34,3,4
1,0,agent-2,agent-4,35,3,4
1,0,agent-2,agent-4,36,3,4
2,0,agent-2,agent-4,37,2,4
1,0,agent-2,agent-4,38,3,4
1,0,agent-2,agent-4,39,3,4
2,0,agent-2,agent-4,40,3,5
2,0,agent-2,agent-4,41,3,5
2,0,agent-2,agent-4,42,3,5
1,0,agent-2,agent-4,43,3,4
1,0,agent-2,agent-4,44,3,4
1,0,agent-2,agent-4,45,3,4
2,0,agent-2,agent-4,46,2,4
2,0,agent-2,agent-4,47,2,4
1,0,agent-2,agent-4,48,3,4
2,0,agent-2,agent-4,49,3,5
-2,0,agent-3,agent-0,1,4,2
-2,0,agent-3,agent-0,2,3,1
-4,0,agent-3,agent-0,3,5,1
-2,0,agent-3,agent-0,4,3,1
-2,0,agent-3,agent-0,5,3,1
-1,0,agent-3,agent-0,6,2,1
-1,0,agent-3,agent-0,7,2,1
-1,0,agent-3,agent-0,8,2,1
-4,0,agent-3,agent-0,9,5,1
-1,0,agent-3,agent-0,10,2,1
-1,0,agent-3,agent-0,11,2,1
-1,0,agent-3,agent-0,12,2,1
-1,0,agent-3,agent-0,13,2,1
-1,0,agent-3,agent-0,14,2,1
-1,0,agent-3,agent-0,15,2,1
-1,0,agent-3,agent-0,16,2,1
-1,0,agent-3,agent-0,17,2,1
-1,0,agent-3,agent-0,18,2,1
-1,0,agent-3,agent-0,19,2,1
-1,0,agent-3,agent-0,20,2,1
-1,0,agent-3,agent-0,21,2,1
-1,0,agent-3,agent-0,22,2,1
-1,0,agent-3,agent-0,23,2,1
-1,0,agent-3,agent-0,24,2,1
-2,0,agent-3,agent-0,25,3,1
-1,0,agent-3,agent-0,26,2,1
-1,0,agent-3,agent-0,27,2,1
-1,0,agent-3,agent-0,28,2,1
-1,0,agent-3,agent-0,29,2,1
-1,0,agent-3,agent-0,30,2,1
-2,0,agent-3,agent-0,31,3,1
-1,0,agent-3,agent-0,32,2,1
-1,0,agent-3,agent-0,33,2,1
-1,0,agent-3,agent-0,34,2,1
-1,0,agent-3,agent-0,35,2,1
-1,0,agent-3,agent-0,36,2,1
-2,0,agent-3,agent-0,37,3,1
-1,0,agent-3,agent-0,38,2,1
-1,0,agent-3,agent-0,39,2,1
-1,0,agent-3,agent-0,40,2,1
-1,0,agent-3,agent-0,41,2,1
-1,0,agent-3,agent-0,42,2,1
-1,0,agent-3,agent-0,43,2,1
-1,0,agent-3,agent-0,44,2,1
-1,0,agent-3,agent-0,45,2,1
-2,0,agent-3,agent-0,46,3,1
-2,0,agent-3,agent-0,47,3,1
-1,0,agent-3,agent-0,48,2,1
-1,0,agent-3,agent-0,49,2,1
-3,0,agent-3,agent-1,1,4,1
1,0,agent-3,agent-1,2,3,4
-2,0,agent-3,agent-1,3,5,3
2,0,agent-3,agent-1,4,3,5
1,0,agent-3,agent-1,5,3,4
3,0,agent-3,agent-1,6,2,5
2,0,agent-3,agent-1,7,2,4
2,0,agent-3,agent-1,8,2,4
-2,0,agent-3,agent-1,9,5,3
1,0,agent-3,agent-1,10,2,3
2,0,agent-3,agent-1,11,2,4
2,0,agent-3,agent-1,12,2,4
2,0,agent-3,agent-1,13,2,4
2,0,agent-3,agent-1,14,2,4
3,0,agent-3,agent-1,15,2,5
2,0,agent-3,agent-1,16,2,4
2,0,agent-3,agent-1,17,2,4
2,0,agent-3,agent-1,18,2,4
2,0,agent-3,agent-1,19,2,4
2,0,agent-3,agent-1,20,2,4
3,0,agent-3,agent-1,21,2,5
3,0,agent-3,agent-1,22,2,5
3,0,agent-3,agent-1,23,2,5
2,0,agent-3,agent-1,24,2,4
1,0,agent-3,agent-1,25,3,4
3,0,agent-3,agent-1,26,2,5
3,0,agent-3,agent-1,27,2,5
3,0,agent-3,agent-1,28,2,5
3,0,agent-3,agent-1,29,2,5
3,0,agent-3,agent-1,30,2,5
2,0,agent-3,agent-1,31,3,5
3,0,agent-3,agent-1,32,2,5
3,0,agent-3,agent-1,33,2,5
3,0,agent-3,agent-1,34,2,5
3,0,agent-3,agent-1,35,2,5
3,0,agent-3,agent-1,36,2,5
2,0,agent-3,agent-1,37,3,5
3,0,agent-3,agent-1,38,2,5
3,0,agent-3,agent-1,39,2,5
2,0,agent-3,agent-1,40,2,4
2,0,agent-3,agent-1,41,2,4
